[META]
film=FP4+
date=26.01.2023
DIN=20
developer=PMK
dilution=1+2+100
time=16:00
aggitation=60/60/10
temperature=21.0°C

[DATA]
.10=(1.520, 1.520, 1.495, 1.510, 1.530)
0.25=(1.450, 1.465, 1.470, 1.455, 1.465)
0.42=(1.380, 1.395, 1.395, 1.400, 1.405)
0.60=(1.310, 1.295, 1.300, 1.315, 1.325)
0.76=(1.230, 1.220, 1.210, 1.230, 1.265)
0.91=(1.140, 1.145, 1.135, 1.140, 1.175)
1.07=(1.035, 1.035, 1.035, 1.030, 1.055)
1.25=(0.905, 0.910, 0.905, 0.905, 0.935)
1.42=(0.770, 0.775, 0.780, 0.780, 0.805)
1.56=(0.645, 0.645, 0.650, 0.650, 0.670)
1.71=(0.515, 0.515, 0.520, 0.525, 0.540, 0.505, 0.520, 0.540, 0.550, 0.560)
1.87=(0.440, 0.450, 0.460, 0.475, 0.485)
2.01=(0.390, 0.400, 0.410, 0.415, 0.415)
2.17=(0.325, 0.320, 0.335, 0.340, 0.350)
2.30=(0.255, 0.260, 0.265, 0.270, 0.275)
2.46=(0.175, 0.185, 0.195, 0.205, 0.210)
2.58=(0.120, 0.125, 0.135, 0.140, 0.145)
2.75=(0.075, 0.075, 0.075, 0.085, 0.085)
2.87=(0.045, 0.040, 0.045, 0.050, 0.055)
3.03=(0.020, 0.020, 0.030, 0.030, 0.030)
3.16=(0.015, 0.015, 0.015, 0.025, 0.025)
