[META]
film=FP4+
date=24.01.2022
DIN=22
developer=GSD-10
dilution=1+1+18
time=30:00
aggitation=60/-/-
temperature=22.0°C

[DATA]
0.10=(1.615, 1.605, 1.590, 1.575, 1.610)
0.25=(1.420, 1.400, 1.390, 1.390, 1.375)
0.42=(1.300, 1.275, 1.270, 1.265, 1.290)
0.60=(1.215, 1.175, 1.160, 1.170, 1.180)
0.76=(1.185, 1.100, 1.105, 1.120)
0.91=(1.175, 1.145, 1.060, 1.020, 1.040)
1.07=(1.015, 1.010, 0.980, 0.930, 0.940)
1.25=(0.885, 0.880, 0.830, 0.830, 0.830)
1.42=(0.760, 0.755, 0.745, 0.720, 0.725)
1.56=(0.640, 0.640, 0.620, 0.600, 0.615)
1.71=(0.530, 0.525, 0.530, 0.520, 0.520, 0.590, 0.605, 0.625, 0.620, 0.620)
1.87=(0.515, 0.530, 0.555, 0.350, 0.495)
2.01=(0.450, 0.460, 0.460, 0.450, 0.435)
2.17=(0.375, 0.370, 0.370, 0.350, 0.355)
2.30=(0.300, 0.300, 0.305, 0.305, 0.320)
2.46=(0.215, 0.220, 0.235, 0.250, 0.285)
2.58=(0.165, 0.170, 0.175, 0.185, 0.200)
2.75=(0.115, 0.110, 0.115, 0.150, 0.125)
2.87=(0.075, 0.075, 0.080, 0.080, 0.075)
3.03=(0.040, 0.045, 0.045, 0.050, 0.050)
3.16=(0.035, 0.045, 0.030, 0.035, 0.035)
