[META]
film=FP4+
date=24.01.2022
DIN=22
developer=GSD-10
dilution=1+1+18
time=50:00
aggitation=60/-/-
temperature=21.0°C

[DATA]
0.10=(2.250, 2.230, 2.120, 2.210, 2.210)
0.25=(2.010, 1.985, 1.960, 1.950, 2.000)
0.42=(1.815, 1.785, 1.805, 1.805, 1.850)
0.60=(1.735, 1.665, 1.645, 1.660, 1.735)
0.76=(1.640, 1.635, 1.560, 1.550, 1.565)
0.91=(1.495, 1.480, 1.425, 1.435, 1.530)
1.07=(1.350, 1.335, 1.295, 1.320, 1.315)
1.25=(1.210, 1.175, 1.160, 1.175, 1.185)
1.42=(1.040, 1.020, 1.005, 1.015, 1.015)
1.56=(0.875, 0.850, 0.860, 0.870, 0.880)
1.71=(0.700, 0.780, 0.700, 0.705, 0.715, 0.740, 0.755, 0.770, 0.780, 0.785)
1.87=(0.625, 0.645, 0.655, 0.665, 0.685)
2.01=(0.550, 0.560, 0.575, 0.585, 0.600)
2.17=(0.460, 0.475, 0.485, 0.500, 0.510)
2.30=(0.395, 0.400, 0.415, 0.425, 0.425)
2.46=(0.305, 0.315, 0.335, 0.340, 0.345)
2.58=(0.245, 0.255, 0.265, 0.275, 0.280)
2.75=(0.165, 0.175, 0.185, 0.190, 0.195)
2.87=(0.120, 0.125, 0.130, 0.135, 0.140)
3.03=(0.070, 0.080, 0.080, 0.085, 0.090)
3.16=(0.050, 0.055, 0.060, 0.055, 0.055)
