[META]
film=FP4+
date=21.01.2022
DIN=22
developer=Halcyon
dilution=stock
time=4:00
aggitation=60/60/15
temperature=21.0°C

[DATA]
0.10=(0.590, 0.580, 0.590, 0.590, 0.605)
0.25=(0.555, 0.550, 0.550, 0.555, 0.560)
0.42=(0.515, 0.525, 0.515, 0.520, 0.520)
0.60=(0.480, 0.470, 0.475, 0.485, 0.485)
0.76=(0.440, 0.440, 0.435, 0.440, 0.445)
0.91=(0.410, 0.395, 0.395, 0.400, 0.405)
1.07=(0.355, 0.355, 0.350, 0.355, 0.360)
1.25=(0.305, 0.300, 0.305, 0.310, 0.310)
1.42=(0.250, 0.250, 0.255, 0.255, 0.265)
1.56=(0.210, 0.205, 0.215, 0.205, 0.215)
1.71=(0.160, 0.160, 0.165, 0.175, 0.175, 0.165, 0.165, 0.160, 0.170, 0.175)
1.87=(0.130, 0.125, 0.130, 0.135, 0.135) 
2.01=(0.100, 0.100, 0.105, 0.110, 0.105)
2.17=(0.060, 0.075, 0.065, 0.070, 0.075)
2.30=(0.050, 0.055, 0.055, 0.060, 0.060)
2.46=(0.040, 0.030, 0.035)
2.58=(0.015, 0.015, 0.025)
2.75=(0.025, 0.015, 0.010)
2.87=(0.010, 0.010, 0.010)
