[META]
film=FP4+
date=21.01.2022
DIN=22
developer=Halcyon
dilution=stock
time=15:00
aggitation=60/60/15
temperature=21.0°C

[DATA]
0.10=(2.020, 2.020, 2.020, 2.030, 2.050)
0.25=(1.930, 1.935, 1.940, 1.980, 1.955)
0.42=(1.830, 1.830, 1.830, 1.830, 1.850)
0.60=(1.705, 1.720, 1.715, 1.715, 1.730)
0.76=(1.590, 1.585, 1.590, 1.590, 1.615)
0.91=(1.465, 1.465, 1.460, 1.465, 1.465)
1.07=(1.320, 1.315, 1.325, 1.330, 1.340)
1.25=(1.160, 1.160, 1.165, 1.170, 1.170)
1.42=(0.980, 0.990, 1.005, 1.000, 0.995)
1.56=(0.825, 0.830, 0.835, 0.830, 0.830)
1.71=(0.675, 0.680, 0.680, 0.690, 0.695, 0.650, 0.665, 0.680, 0.690, 0.700)
1.87=(0.530, 0.540, 0.555, 0.560, 0.565)
2.01=(0.430, 0.440, 0.445, 0.450, 0.460)
2.17=(0.330, 0.335, 0.345, 0.350, 0.360)
2.30=(0.250, 0.265, 0.275, 0.270, 0.280)
2.46=(0.170, 0.175, 0.185, 0.195, 0.200)
2.58=(0.120, 0.125, 0.130, 0.130, 0.135)
2.75=(0.070, 0.075, 0.075, 0.080, 0.080)
2.87=(0.045, 0.050, 0.050, 0.050, 0.060)
3.03=(0.025, 0.035, 0.035, 0.040, 0.035)
3.16=(0.025, 0.020, 0.020, 0.025, 0.030)
