[META]
film=FOMA 100
date=05.03.2022
DIN=21
developer=510-pyro
dilution=1+100
time=9:45
aggitation=60/60/10
temperature=21.0°C

[DATA]
0.10=(1.295, 1.305, 1.320, 1.325, 1.320)
0.25=(1.270, 1.265, 1.270, 1.275, 1.280)
0.42=(1.190, 1.205, 1.200, 1.215, 1.210)
0.60=(1.150, 1.150, 1.150, 1.150, 1.155)
0.76=(1.075, 1.080, 1.085, 1.085, 1.090)
0.91=(1.020, 1.015, 1.030, 1.030, 1.015)
1.07=(0.935, 0.930, 0.925, 0.920, 0.925)
1.25=(0.845, 0.835, 0.825, 0.820, 0.840)
1.42=(0.740, 0.730, 0.715, 0.705, 0.715)
1.56=(0.635, 0.620, 0.605, 0.595, 0.615)
1.71=(0.495, 0.495, 0.490, 0.485, 0.490, 0.455, 0.465, 0.465, 0.470, 0.530)
1.87=(0.355, 0.420, 0.380, 0.375, 0.385)
2.01=(0.270, 0.280, 0.285, 0.285, 0.300)
2.17=(0.190, 0.190, 0.205, 0.205, 0.235)
2.30=(0.130, 0.130, 0.145, 0.150, 0.150)
2.46=(0.080, 0.085, 0.090, 0.090, 0.100)
2.58=(0.055, 0.060, 0.065, 0.065, 0.060)
2.75=(0.035, 0.030, 0.035, 0.030, 0.035)
2.87=(0.020, 0.025, 0.030, 0.030, 0.035)
3.03=(0.015, 0.015, 0.020, 0.025, 0.025)
3.16=(0.020, 0.015, 0.020, 0.015, 0.015)
